"","apply(Filter_perClass, 1, mean)"
"V162",0.54271556712963
"V163",0.5517578125
"V164",0.562626591435185
"V165",0.56372974537037
"V166",0.564869068287037
"V167",0.564869068287037
"V168",0.565990306712963
"V169",0.555013020833333
"V170",0.557581018518518
"V171",0.564362702546296
"V172",0.553620515046296
"V173",0.572554976851852
"V174",0.558195891203704
"V175",0.625614872685185
"V176",0.600441261574074
"V177",0.56372974537037
"V178",0.612847222222222
"V179",0.615704571759259
"V180",0.611328125
"V181",0.611328125
"V182",0.573857060185185
"V183",0.558051215277778
"V184",0.556857638888889
"V185",0.521954571759259
"V186",0.541377314814815
"V187",0.565104166666667
"V188",0.536458333333333
"V189",0.518988715277778
"V190",0.575954861111111
"V191",0.557725694444445
"V192",0.521086516203704
"V193",0.669451678240741
"V194",0.549913194444444
"V195",0.52904369212963
"V196",0.512803819444444
"V197",0.54615162037037
"V198",0.536458333333333
"V199",0.54615162037037
"V200",0.54615162037037
"V201",0.520381221064815
"V202",0.544994212962963
"V203",0.575593171296296
"V204",0.574309172453704
"V205",0.562934027777778
"V206",0.551793981481482
"V207",0.55638744212963
"V208",0.560727719907407
"V209",0.560474537037037
"V210",0.5517578125
"V211",0.565357349537037
"V212",0.549913194444444
"V213",0.56128833912037
"V214",0.530671296296296
"V215",0.530671296296296
"V216",0.545808015046296
"V217",0.515534577546296
"V218",0.506546585648148
"V219",0.512098524305556
"V220",0.544849537037037
"V221",0.514286747685185
"V222",0.530454282407407
"V223",0.513346354166667
"V224",0.543149594907407
"V225",0.536458333333333
"V226",0.5546875
"V227",0.535192418981482
"V228",0.548032407407407
"V229",0.536458333333333
"V230",0.535626446759259
"V231",0.545500578703704
"V232",0.5546875
"V233",0.533854166666667
"V234",0.546296296296296
"V235",0.5185546875
"V236",0.531846788194445
"V237",0.533854166666667
"V238",0.527777777777778
"V239",0.538194444444444
"V240",0.527669270833333
"V241",0.526041666666667
"V242",0.517505787037037
"V243",0.523003472222222
"V244",0.5234375
"V245",0.525083188657407
"V246",0.534288194444444
"V247",0.512622974537037
"V248",0.518265335648148
"V249",0.513020833333333
"V250",0.52857349537037
"V251",0.566478587962963
